"No.","Time","Source","Destination","Protocol","Length","Info"
"38","8.159127761","192.168.100.1","192.168.100.144","DNS","93","Standard query response 0xae8e A script.google.com A 142.250.74.14"
"39","8.166291992","192.168.100.144","connectivitycheck.gstatic.com","TLSv1.3","583","Client Hello"
"40","8.171523517","192.168.100.144","android.l.google.com","TCP","74","36336  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=9308930 TSecr=0 WS=256"
"41","8.181795824","connectivitycheck.gstatic.com","192.168.100.144","TCP","66","https(443)  >  38418 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=1362202619 TSecr=9308928"
"42","8.184907524","android.l.google.com","192.168.100.144","TCP","74","https(443)  >  36336 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1430 SACK_PERM=1 TSval=1457420984 TSecr=9308930 WS=256"
"43","8.191516973","connectivitycheck.gstatic.com","192.168.100.144","TLSv1.3","1484","Server Hello, Change Cipher Spec"
"44","8.191553415","connectivitycheck.gstatic.com","192.168.100.144","TCP","1484","https(443)  >  38418 [PSH, ACK] Seq=1419 Ack=518 Win=66816 Len=1418 TSval=1362202629 TSecr=9308928 [TCP segment of a reassembled PDU]"
"45","8.191553506","connectivitycheck.gstatic.com","192.168.100.144","TCP","1484","https(443)  >  38418 [ACK] Seq=2837 Ack=518 Win=66816 Len=1418 TSval=1362202629 TSecr=9308928 [TCP segment of a reassembled PDU]"
"46","8.191597211","connectivitycheck.gstatic.com","192.168.100.144","TLSv1.3","158","Application Data"
"47","8.198581999","192.168.100.144","android.l.google.com","TCP","66","36336  >  https(443) [ACK] Seq=1 Ack=1 Win=87808 Len=0 TSval=9308937 TSecr=1457420984"
"48","8.198774723","192.168.100.144","connectivitycheck.gstatic.com","TCP","66","38418  >  https(443) [ACK] Seq=518 Ack=1419 Win=90624 Len=0 TSval=9308937 TSecr=1362202629"
"49","8.199036425","192.168.100.144","connectivitycheck.gstatic.com","TCP","66","38418  >  https(443) [ACK] Seq=518 Ack=2837 Win=93440 Len=0 TSval=9308937 TSecr=1362202629"
"50","8.199199580","192.168.100.144","connectivitycheck.gstatic.com","TCP","66","38418  >  https(443) [ACK] Seq=518 Ack=4255 Win=96256 Len=0 TSval=9308937 TSecr=1362202629"
"51","8.199268096","192.168.100.144","connectivitycheck.gstatic.com","TCP","66","38418  >  https(443) [ACK] Seq=518 Ack=4347 Win=96256 Len=0 TSval=9308937 TSecr=1362202629"
"52","8.211509117","192.168.100.144","android.l.google.com","TLSv1.3","583","Client Hello"
"53","8.224855021","android.l.google.com","192.168.100.144","TCP","66","https(443)  >  36336 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=1457421024 TSecr=9308940"
"54","8.234564049","android.l.google.com","192.168.100.144","TLSv1.3","1484","Server Hello, Change Cipher Spec"
"55","8.234692182","android.l.google.com","192.168.100.144","TCP","1484","https(443)  >  36336 [PSH, ACK] Seq=1419 Ack=518 Win=66816 Len=1418 TSval=1457421033 TSecr=9308940 [TCP segment of a reassembled PDU]"
"56","8.234692277","android.l.google.com","192.168.100.144","TCP","1484","https(443)  >  36336 [ACK] Seq=2837 Ack=518 Win=66816 Len=1418 TSval=1457421033 TSecr=9308940 [TCP segment of a reassembled PDU]"
"57","8.234692350","android.l.google.com","192.168.100.144","TCP","1484","https(443)  >  36336 [PSH, ACK] Seq=4255 Ack=518 Win=66816 Len=1418 TSval=1457421033 TSecr=9308940 [TCP segment of a reassembled PDU]"
"58","8.234692410","android.l.google.com","192.168.100.144","TLSv1.3","1072","Application Data"
"59","8.237995001","192.168.100.144","android.l.google.com","TCP","66","36336  >  https(443) [ACK] Seq=518 Ack=1419 Win=90624 Len=0 TSval=9308946 TSecr=1457421033"
"60","8.239149491","192.168.100.144","android.l.google.com","TCP","66","36336  >  https(443) [ACK] Seq=518 Ack=2837 Win=93440 Len=0 TSval=9308947 TSecr=1457421033"
"61","8.239242522","192.168.100.144","android.l.google.com","TCP","66","36336  >  https(443) [ACK] Seq=518 Ack=4255 Win=96256 Len=0 TSval=9308947 TSecr=1457421033"
"62","8.239343055","192.168.100.144","android.l.google.com","TCP","66","36336  >  https(443) [ACK] Seq=518 Ack=5673 Win=99072 Len=0 TSval=9308947 TSecr=1457421033"
"63","8.239410719","192.168.100.144","android.l.google.com","TCP","66","36336  >  https(443) [ACK] Seq=518 Ack=6679 Win=101888 Len=0 TSval=9308947 TSecr=1457421033"
"64","8.298624709","192.168.100.144","android.l.google.com","TLSv1.3","130","Change Cipher Spec, Application Data"
"65","8.304725012","192.168.100.144","connectivitycheck.gstatic.com","TLSv1.3","130","Change Cipher Spec, Application Data"
"66","8.310630462","192.168.100.144","www.googleapis.com","TCP","74","46860  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=9308965 TSecr=0 WS=256"
"67","8.317568909","android.l.google.com","192.168.100.144","TCP","66","https(443)  >  36336 [ACK] Seq=6679 Ack=582 Win=66816 Len=0 TSval=1457421116 TSecr=9308961"
"68","8.320280191","192.168.100.144","android.l.google.com","TLSv1.3","348","Application Data"
"69","8.324355889","connectivitycheck.gstatic.com","192.168.100.144","TCP","66","https(443)  >  38418 [ACK] Seq=4347 Ack=582 Win=66816 Len=0 TSval=1362202762 TSecr=9308963"
"70","8.325099182","www.googleapis.com","192.168.100.144","TCP","74","https(443)  >  46860 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1430 SACK_PERM=1 TSval=3501599748 TSecr=9308965 WS=256"
"71","8.327139532","192.168.100.144","connectivitycheck.gstatic.com","TLSv1.3","320","Application Data"
"72","8.327157084","192.168.100.144","www.googleapis.com","TCP","66","46860  >  https(443) [ACK] Seq=1 Ack=1 Win=87808 Len=0 TSval=9308969 TSecr=3501599748"
"73","8.329583598","192.168.100.144","www.googleapis.com","TLSv1.3","583","Client Hello"
"74","8.333641215","android.l.google.com","192.168.100.144","TCP","66","https(443)  >  36336 [ACK] Seq=6679 Ack=864 Win=67840 Len=0 TSval=1457421133 TSecr=9308967"
"75","8.342710937","connectivitycheck.gstatic.com","192.168.100.144","TCP","66","https(443)  >  38418 [ACK] Seq=4347 Ack=836 Win=67840 Len=0 TSval=1362202780 TSecr=9308969"
"76","8.342779040","connectivitycheck.gstatic.com","192.168.100.144","TLSv1.3","908","Application Data, Application Data"
"77","8.344070225","www.googleapis.com","192.168.100.144","TCP","66","https(443)  >  46860 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=3501599767 TSecr=9308969"
"78","8.345760581","192.168.100.144","connectivitycheck.gstatic.com","TCP","66","38418  >  https(443) [ACK] Seq=836 Ack=5189 Win=99072 Len=0 TSval=9308973 TSecr=1362202780"
"79","8.351817288","www.googleapis.com","192.168.100.144","TLSv1.3","1484","Server Hello, Change Cipher Spec"
"80","8.351938117","www.googleapis.com","192.168.100.144","TCP","1484","https(443)  >  46860 [PSH, ACK] Seq=1419 Ack=518 Win=66816 Len=1418 TSval=3501599775 TSecr=9308969 [TCP segment of a reassembled PDU]"
"81","8.351938207","www.googleapis.com","192.168.100.144","TCP","1484","https(443)  >  46860 [ACK] Seq=2837 Ack=518 Win=66816 Len=1418 TSval=3501599775 TSecr=9308969 [TCP segment of a reassembled PDU]"
"82","8.351938268","www.googleapis.com","192.168.100.144","TLSv1.3","501","Application Data"
"83","8.354849841","192.168.100.144","www.googleapis.com","TCP","66","46860  >  https(443) [ACK] Seq=518 Ack=1419 Win=90624 Len=0 TSval=9308976 TSecr=3501599775"
"84","8.354912949","192.168.100.144","www.googleapis.com","TCP","66","46860  >  https(443) [ACK] Seq=518 Ack=2837 Win=93440 Len=0 TSval=9308976 TSecr=3501599775"
"85","8.355175431","192.168.100.144","www.googleapis.com","TCP","66","46860  >  https(443) [ACK] Seq=518 Ack=4255 Win=96256 Len=0 TSval=9308976 TSecr=3501599775"
"86","8.355305727","192.168.100.144","www.googleapis.com","TCP","66","46860  >  https(443) [ACK] Seq=518 Ack=4690 Win=99072 Len=0 TSval=9308976 TSecr=3501599775"
"87","8.377793741","192.168.100.144","www.googleapis.com","TLSv1.3","130","Change Cipher Spec, Application Data"
"88","8.397974612","www.googleapis.com","192.168.100.144","TCP","66","https(443)  >  46860 [ACK] Seq=4690 Ack=582 Win=66816 Len=0 TSval=3501599821 TSecr=9308981"
"89","8.401555448","192.168.100.144","www.googleapis.com","TLSv1.3","1087","Application Data"
"90","8.416142581","www.googleapis.com","192.168.100.144","TCP","66","https(443)  >  46860 [ACK] Seq=4690 Ack=1603 Win=69632 Len=0 TSval=3501599839 TSecr=9308987"
"91","8.716903918","www.googleapis.com","192.168.100.144","TLSv1.3","1484","Application Data"
"92","8.717027750","www.googleapis.com","192.168.100.144","TLSv1.3","300","Application Data"
"93","8.717027833","www.googleapis.com","192.168.100.144","TLSv1.3","93","Application Data"
"94","8.719854818","192.168.100.144","www.googleapis.com","TCP","66","46860  >  https(443) [ACK] Seq=1603 Ack=6342 Win=104704 Len=0 TSval=9309067 TSecr=3501600140"
"95","8.761962955","192.168.100.144","www.googleapis.com","TCP","66","46860  >  https(443) [ACK] Seq=1603 Ack=6369 Win=104704 Len=0 TSval=9309078 TSecr=3501600140"
"96","8.979149114","192.168.100.144","android.l.google.com","TCP","1484","58870  >  https(443) [ACK] Seq=1 Ack=1 Win=373 Len=1418 TSval=9309132 TSecr=3323972083 [TCP segment of a reassembled PDU]"
"97","8.979172449","192.168.100.144","android.l.google.com","TLSv1.2","178","Application Data"
"98","8.994455146","android.l.google.com","192.168.100.144","TCP","66","https(443)  >  58870 [ACK] Seq=1 Ack=1419 Win=305 Len=0 TSval=3324102957 TSecr=9309132"
"99","8.994500767","android.l.google.com","192.168.100.144","TCP","66","https(443)  >  58870 [ACK] Seq=1 Ack=1531 Win=305 Len=0 TSval=3324102957 TSecr=9309132"
"100","9.061705965","android.l.google.com","192.168.100.144","TLSv1.2","642","Application Data"
"101","9.061740627","android.l.google.com","192.168.100.144","TLSv1.2","334","Application Data"
"102","9.061803115","android.l.google.com","192.168.100.144","TLSv1.2","93","Application Data"
"103","9.063982089","192.168.100.144","android.l.google.com","TCP","66","58870  >  https(443) [ACK] Seq=1531 Ack=577 Win=382 Len=0 TSval=9309153 TSecr=3324103025"
"104","9.064147615","192.168.100.144","android.l.google.com","TCP","66","58870  >  https(443) [ACK] Seq=1531 Ack=845 Win=390 Len=0 TSval=9309153 TSecr=3324103025"
"105","9.064213291","192.168.100.144","android.l.google.com","TCP","66","58870  >  https(443) [ACK] Seq=1531 Ack=872 Win=390 Len=0 TSval=9309153 TSecr=3324103025"
"106","9.234047986","192.168.100.1","192.168.100.144","DNS","297","Standard query response 0x3055 A global.market.xiaomi.com CNAME g1.fr.de.market.xiaomi.com CNAME aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com A 18.192.7.148 A 18.196.155.226 A 18.184.235.146 A 18.193.227.200 A 52.58.163.206 A 3.120.6.107 A 18.193.59.158 A 18.158.98.10"
"107","9.367360894","192.168.100.144","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","TCP","74","44072  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=9309229 TSecr=0 WS=256"
"108","9.386552556","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","192.168.100.144","TCP","74","https(443)  >  44072 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1460 SACK_PERM=1 TSval=3179582399 TSecr=9309229 WS=256"
"109","9.402731835","192.168.100.144","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","TCP","66","44072  >  https(443) [ACK] Seq=1 Ack=1 Win=87808 Len=0 TSval=9309238 TSecr=3179582399"
"110","9.430509300","android.l.google.com","192.168.100.144","TLSv1.3","1484","Application Data"
"111","9.430592815","android.l.google.com","192.168.100.144","TLSv1.3","242","Application Data"
"112","9.431472735","android.l.google.com","192.168.100.144","TLSv1.3","657","Application Data"
"113","9.431472830","android.l.google.com","192.168.100.144","TLSv1.3","93","Application Data"
"114","9.433348580","192.168.100.144","android.l.google.com","TCP","66","36336  >  https(443) [ACK] Seq=864 Ack=8097 Win=104704 Len=0 TSval=9309245 TSecr=1457422229"
"115","9.433412253","192.168.100.144","android.l.google.com","TCP","66","36336  >  https(443) [ACK] Seq=864 Ack=8273 Win=107520 Len=0 TSval=9309245 TSecr=1457422229"
"116","9.433412325","192.168.100.144","android.l.google.com","TCP","66","36336  >  https(443) [ACK] Seq=864 Ack=8864 Win=110336 Len=0 TSval=9309245 TSecr=1457422230"
"117","9.433535823","192.168.100.144","android.l.google.com","TCP","66","36336  >  https(443) [ACK] Seq=864 Ack=8891 Win=110336 Len=0 TSval=9309245 TSecr=1457422230"
"118","9.442553885","192.168.100.144","192.168.100.1","DNS","88","Standard query 0xd0db A script.googleusercontent.com"
"119","9.445519012","192.168.100.144","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","TLSv1.2","583","Client Hello"
"120","9.464843865","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","192.168.100.144","TCP","66","https(443)  >  44072 [ACK] Seq=1 Ack=518 Win=28160 Len=0 TSval=3179582477 TSecr=9309248"
"121","9.466271644","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","192.168.100.144","TLSv1.2","1514","Server Hello"
"122","9.466271767","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","192.168.100.144","TCP","1514","https(443)  >  44072 [ACK] Seq=1449 Ack=518 Win=28160 Len=1448 TSval=3179582479 TSecr=9309248 [TCP segment of a reassembled PDU]"
"123","9.466323100","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","192.168.100.144","TLSv1.2","512","Certificate, Server Key Exchange, Server Hello Done"
"124","9.474339790","192.168.100.144","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","TCP","66","44072  >  https(443) [ACK] Seq=518 Ack=1449 Win=90624 Len=0 TSval=9309256 TSecr=3179582479"
"125","9.474445526","192.168.100.144","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","TCP","66","44072  >  https(443) [ACK] Seq=518 Ack=2897 Win=93440 Len=0 TSval=9309256 TSecr=3179582479"
"126","9.474466105","192.168.100.144","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","TCP","66","44072  >  https(443) [ACK] Seq=518 Ack=3343 Win=96512 Len=0 TSval=9309256 TSecr=3179582479"
"127","9.533331377","192.168.100.1","192.168.100.144","DNS","133","Standard query response 0xd0db A script.googleusercontent.com CNAME googlehosted.l.googleusercontent.com A 216.58.211.1"
"128","9.561635953","192.168.100.144","googlehosted.l.googleusercontent.com","TCP","74","34776  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=9309273 TSecr=0 WS=256"
"129","9.561669664","192.168.100.144","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"130","9.575084772","googlehosted.l.googleusercontent.com","192.168.100.144","TCP","74","https(443)  >  34776 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1430 SACK_PERM=1 TSval=1325865993 TSecr=9309273 WS=256"
"131","9.578676323","192.168.100.144","googlehosted.l.googleusercontent.com","TCP","66","34776  >  https(443) [ACK] Seq=1 Ack=1 Win=87808 Len=0 TSval=9309282 TSecr=1325865993"
"132","9.580941795","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","192.168.100.144","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"133","9.584076873","192.168.100.144","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","TCP","66","44072  >  https(443) [ACK] Seq=644 Ack=3394 Win=96512 Len=0 TSval=9309283 TSecr=3179582593"
"134","9.584514041","192.168.100.144","googlehosted.l.googleusercontent.com","TLSv1.3","583","Client Hello"
"135","9.598101637","googlehosted.l.googleusercontent.com","192.168.100.144","TCP","66","https(443)  >  34776 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=1325866016 TSecr=9309283"
"136","9.607059297","googlehosted.l.googleusercontent.com","192.168.100.144","TLSv1.3","1484","Server Hello, Change Cipher Spec"
"137","9.607091339","googlehosted.l.googleusercontent.com","192.168.100.144","TCP","1484","https(443)  >  34776 [PSH, ACK] Seq=1419 Ack=518 Win=66816 Len=1418 TSval=1325866025 TSecr=9309283 [TCP segment of a reassembled PDU]"
"138","9.607091398","googlehosted.l.googleusercontent.com","192.168.100.144","TCP","1484","https(443)  >  34776 [ACK] Seq=2837 Ack=518 Win=66816 Len=1418 TSval=1325866025 TSecr=9309283 [TCP segment of a reassembled PDU]"
"139","9.607206747","googlehosted.l.googleusercontent.com","192.168.100.144","TCP","1484","https(443)  >  34776 [PSH, ACK] Seq=4255 Ack=518 Win=66816 Len=1418 TSval=1325866025 TSecr=9309283 [TCP segment of a reassembled PDU]"
"140","9.607206861","googlehosted.l.googleusercontent.com","192.168.100.144","TCP","1484","https(443)  >  34776 [ACK] Seq=5673 Ack=518 Win=66816 Len=1418 TSval=1325866025 TSecr=9309283 [TCP segment of a reassembled PDU]"
"141","9.607206892","googlehosted.l.googleusercontent.com","192.168.100.144","TLSv1.3","657","Application Data"
"142","9.609906507","192.168.100.144","googlehosted.l.googleusercontent.com","TCP","66","34776  >  https(443) [ACK] Seq=518 Ack=1419 Win=90624 Len=0 TSval=9309289 TSecr=1325866025"
"143","9.610058711","192.168.100.144","googlehosted.l.googleusercontent.com","TCP","66","34776  >  https(443) [ACK] Seq=518 Ack=2837 Win=93440 Len=0 TSval=9309289 TSecr=1325866025"
"144","9.610156595","192.168.100.144","googlehosted.l.googleusercontent.com","TCP","66","34776  >  https(443) [ACK] Seq=518 Ack=4255 Win=96256 Len=0 TSval=9309290 TSecr=1325866025"
"145","9.610912239","192.168.100.144","googlehosted.l.googleusercontent.com","TCP","66","34776  >  https(443) [ACK] Seq=518 Ack=5673 Win=99072 Len=0 TSval=9309290 TSecr=1325866025"
"146","9.611402918","192.168.100.144","googlehosted.l.googleusercontent.com","TCP","66","34776  >  https(443) [ACK] Seq=518 Ack=7091 Win=101888 Len=0 TSval=9309290 TSecr=1325866025"
"147","9.612352069","192.168.100.144","googlehosted.l.googleusercontent.com","TCP","66","34776  >  https(443) [ACK] Seq=518 Ack=7682 Win=104704 Len=0 TSval=9309290 TSecr=1325866025"
"148","9.639104095","192.168.100.144","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","TCP","1514","44072  >  https(443) [ACK] Seq=644 Ack=3394 Win=96512 Len=1448 TSval=9309292 TSecr=3179582593 [TCP segment of a reassembled PDU]"
"149","9.639323579","192.168.100.144","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","TCP","1514","44072  >  https(443) [ACK] Seq=2092 Ack=3394 Win=96512 Len=1448 TSval=9309292 TSecr=3179582593 [TCP segment of a reassembled PDU]"
"150","9.639355298","192.168.100.144","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","TLSv1.2","378","Application Data"
"151","9.658647187","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","192.168.100.144","TCP","66","https(443)  >  44072 [ACK] Seq=3394 Ack=3540 Win=33792 Len=0 TSval=3179582671 TSecr=9309292"
"152","9.668512798","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","192.168.100.144","TLSv1.2","356","Application Data"
"153","9.672786369","192.168.100.144","googlehosted.l.googleusercontent.com","TLSv1.3","130","Change Cipher Spec, Application Data"
"154","9.690508441","googlehosted.l.googleusercontent.com","192.168.100.144","TCP","66","https(443)  >  34776 [ACK] Seq=7682 Ack=582 Win=66816 Len=0 TSval=1325866109 TSecr=9309298"
"155","9.699996756","192.168.100.144","googlehosted.l.googleusercontent.com","TLSv1.3","586","Application Data"
"156","9.713549259","googlehosted.l.googleusercontent.com","192.168.100.144","TCP","66","https(443)  >  34776 [ACK] Seq=7682 Ack=1102 Win=67840 Len=0 TSval=1325866132 TSecr=9309312"
"157","9.714166838","192.168.100.144","aws-de-apm2-12779800.eu-central-1.elb.amazonaws.com","TCP","66","44072  >  https(443) [ACK] Seq=3852 Ack=3684 Win=99328 Len=0 TSval=9309316 TSecr=3179582681"
"158","9.948517622","googlehosted.l.googleusercontent.com","192.168.100.144","TLSv1.3","1344","Application Data, Application Data"
"159","9.949572862","googlehosted.l.googleusercontent.com","192.168.100.144","TLSv1.3","727","Application Data"
"160","9.981121496","googlehosted.l.googleusercontent.com","192.168.100.144","TLSv1.3","184","Application Data"
"161","9.981240313","googlehosted.l.googleusercontent.com","192.168.100.144","TLSv1.3","93","Application Data"
"162","10.013703112","192.168.100.144","googlehosted.l.googleusercontent.com","TCP","66","34776  >  https(443) [ACK] Seq=1102 Ack=9621 Win=110336 Len=0 TSval=9309390 TSecr=1325866367"
"163","10.017827030","192.168.100.144","googlehosted.l.googleusercontent.com","TCP","66","34776  >  https(443) [ACK] Seq=1102 Ack=9766 Win=110336 Len=0 TSval=9309391 TSecr=1325866399"
"164","10.018191985","googlehosted.l.googleusercontent.com","192.168.100.144","TCP","93","[TCP Spurious Retransmission] https(443)  >  34776 [PSH, ACK] Seq=9739 Ack=1102 Win=67840 Len=27 TSval=1325866437 TSecr=9309312"
"165","10.019890732","192.168.100.144","googlehosted.l.googleusercontent.com","TCP","78","[TCP Dup ACK 163#1] 34776  >  https(443) [ACK] Seq=1102 Ack=9766 Win=110336 Len=0 TSval=9309392 TSecr=1325866437 SLE=9739 SRE=9766"
"166","11.023467650","192.168.100.144","play-fe.googleapis.com","QUIC","1292","Initial, DCID=123b88db558d34c9, PKN: 1, CRYPTO, PADDING, PING, PING, PING, CRYPTO, PADDING, CRYPTO, PING, PING, PADDING, CRYPTO"
"167","11.023542986","192.168.100.144","play-fe.googleapis.com","TCP","74","37090  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=9309640 TSecr=0 WS=256"
"168","11.037941790","play-fe.googleapis.com","192.168.100.144","TCP","74","https(443)  >  37090 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1430 SACK_PERM=1 TSval=2878056707 TSecr=9309640 WS=256"
"169","11.038719864","play-fe.googleapis.com","192.168.100.144","QUIC","1292","Initial, SCID=123b88db558d34c9, PKN: 1, ACK, CRYPTO, PADDING"
"170","11.040879196","192.168.100.144","play-fe.googleapis.com","TCP","66","37090  >  https(443) [ACK] Seq=1 Ack=1 Win=87808 Len=0 TSval=9309647 TSecr=2878056707"
